날짜,종목명,티커,산업군,현재가격,Trailing P/E,Forward P/E,PEG Ratio
2025-07-25,Apple Inc.,AAPL,Technology - Consumer Electronics,213.76,33.295948,25.723223,1.9967
2025-07-25,"Airbnb, Inc.",ABNB,Consumer Cyclical - Travel Services,141.62,35.94416,31.47111,1.995
2025-07-25,Adobe Inc.,ADBE,Technology - Software - Application,371.69,23.81102,18.087105,1.2063
2025-07-25,"Analog Devices, Inc.",ADI,Technology - Semiconductors,226.37,61.6812,30.022547,1.3342
2025-07-25,"Automatic Data Processing, Inc.",ADP,Technology - Software - Application,306.24,31.34493,28.172953,3.2229
2025-07-25,"Autodesk, Inc.",ADSK,Technology - Software - Application,301.1,64.47537,32.799564,1.7753
2025-07-25,"Applied Materials, Inc.",AMAT,Technology - Semiconductor Equipment & Materials,188.12,22.857838,19.41383,1.8599
2025-07-25,"Advanced Micro Devices, Inc.",AMD,Technology - Semiconductors,162.12,119.20588,31.788235,0.7744
2025-07-25,Amgen Inc.,AMGN,Healthcare - Drug Manufacturers - General,308.55,28.101093,14.92743,1.0289
2025-07-25,"Amazon.com, Inc.",AMZN,Consumer Cyclical - Internet Retail,232.23,37.822475,37.760975,2.9679
2025-07-25,"ANSYS, Inc.",ANSS,Technology - Software - Application,374.3,55.534126,29.581144,2.4662
2025-07-25,ASML Holding N.V.,ASML,Technology - Semiconductor Equipment & Materials,725.08,25.803558,27.156553,1.4595
2025-07-25,Broadcom Inc.,AVGO,Technology - Semiconductors,288.71,104.98545,46.79254,1.3305
2025-07-25,"Baidu, Inc.",BIDU,Communication Services - Internet Content & Information,90.99,8.991107,8.204689,0.19891829646017697
2025-07-25,Biogen Inc.,BIIB,Healthcare - Drug Manufacturers - General,132.59,13.101778,7.9585834,
2025-07-25,Booking Holdings Inc.,BKNG,Consumer Cyclical - Travel Services,5650.0,35.176193,26.923992,1.6505
2025-07-25,"Cadence Design Systems, Inc.",CDNS,Technology - Software - Application,324.64,82.18735,47.392704,3.4766
2025-07-25,"Charter Communications, Inc.",CHTR,Communication Services - Telecom Services,380.0,10.605638,10.620459,0.4226
2025-07-25,Comcast Corporation,CMCSA,Communication Services - Telecom Services,35.37,8.7118225,8.075342,1.6724
2025-07-25,"Coinbase Global, Inc.",COIN,Financial Services - Financial Data & Stock Exchanges,396.7,74.42777,111.12045,118.3571
2025-07-25,Costco Wholesale Corporation,COST,Consumer Defensive - Discount Stores,933.8,53.056816,47.449184,5.0002
2025-07-25,"Copart, Inc.",CPRT,Industrials - Specialty Business Services,46.27,30.642385,26.591953,2.3168
2025-07-25,"Salesforce, Inc.",CRM,Technology - Software - Application,267.7,41.893585,24.052113,1.4276
2025-07-25,"CrowdStrike Holdings, Inc.",CRWD,Technology - Software - Infrastructure,462.03,,108.20375,5.2595
2025-07-25,"Cisco Systems, Inc.",CSCO,Technology - Communication Equipment,68.29,27.873468,17.510256,2.2833
2025-07-25,Cintas Corporation,CTAS,Industrials - Specialty Business Services,222.88,50.654545,47.623936,4.1814
2025-07-25,"Datadog, Inc.",DDOG,Technology - Software - Application,146.56,305.33334,72.197044,2.7253
2025-07-25,"Dollar Tree, Inc.",DLTR,Consumer Defensive - Discount Stores,114.21,22.526627,18.846535,1.3488998203592815
2025-07-25,"DocuSign, Inc.",DOCU,Technology - Software - Application,80.33,15.271863,21.769648,0.13574989333333334
2025-07-25,Electronic Arts Inc.,EA,Communication Services - Electronic Gaming & Multimedia,152.64,36.0,17.894491,1.4202
